,ID,tips,convex_hull_area,solidity,perimeter,width,height
0,P0791_16,9,640433.0,0.25731653428227463,11201.150094866753,1028,867
0,P0792_16,10,500411.5,0.22318232094985826,9969.875586152077,903,779
0,P0793_16,10,627336.5,0.23180223054134425,8667.866886615753,924,983
0,P0794_16,13,684262.5,0.22453809758681792,11644.33909881115,867,1155
0,P0795_16,10,521463.5,0.28933568696562656,12409.971476078033,715,1005
0,P0796_16,11,816723.0,0.19049420672614828,11169.978708028793,915,1165
0,P0797_16,9,630075.5,0.20562773826311292,11726.409317851067,1011,793
0,P0798_16,9,396543.0,0.3282393082213026,8647.073912143707,923,701
0,P0799_16,10,548301.5,0.2515203770188482,9483.909621953964,920,953
0,P0800_16,11,633417.5,0.2343004416518331,11895.709458351135,1002,901
0,P0801_16,10,730698.5,0.18508454581472386,10485.080046892166,999,1039
0,P0802_16,11,604075.5,0.2633412545286144,10693.077125310898,955,923
0,P0803_16,14,773371.5,0.22878008822409412,14483.162483215332,829,1165
0,P0804_16,12,876336.5,0.21870822452334235,14396.449698805809,1028,1165
0,P0805_16,11,773579.5,0.23055031835771242,11617.781873464584,916,1165
0,P0807_16,12,856259.5,0.2136571915406486,14546.680379986763,1028,1097
0,P0808_16,13,826699.0,0.19783258477390198,15009.20768404007,1028,1117
0,P0809_16,13,654005.0,0.24273820536540242,11757.529128193855,1002,883
0,P0810_16,12,785793.0,0.18894797993873705,12036.412254452705,907,1165
0,P0811_16,11,751976.0,0.18807515133461705,10952.57163476944,948,1079
0,P0812_16,12,783933.5,0.21533459151828568,14291.186827778816,928,1092
0,P0813_16,9,519911.0,0.20528128852822888,10328.662045121193,836,868
0,P0814_16,9,314396.5,0.3187758133439781,6952.2189255952835,836,640
0,P0815_16,12,688049.0,0.2516884698618848,14950.47852563858,1028,940
0,P0816_16,13,812803.0,0.21884023557983914,12293.085477113724,1028,962
0,P0817_16,12,748909.5,0.18037827000458667,13393.034362912178,1019,971
0,P0818_16,11,575865.5,0.29378561487013893,11090.75836467743,906,873
0,P0819_16,11,694313.0,0.21125486632109725,10818.554389834404,962,1015
0,P0820_16,10,611725.5,0.2754879435302272,13072.327363371849,982,942
0,P0821_16,11,842033.0,0.2906061876434772,15373.81105351448,996,1101
0,P0822_16,12,575683.0,0.23984901412756673,10777.978708028793,965,866
